,archArea,atchBldArea,atchBldCnt,bcRat,bjdongCd,bldNm,block,bun,bylotCnt,crtnDay,engrEpi,engrGrade,engrRat,etcPurps,fmlyCnt,gnBldCert,gnBldGrade,hhldCnt,hoCnt,indrAutoArea,indrAutoUtcnt,indrMechArea,indrMechUtcnt,itgBldCert,itgBldGrade,ji,lot,mainBldCnt,mainPurpsCd,mainPurpsCdNm,mgmBldrgstPk,naBjdongCd,naMainBun,naRoadCd,naSubBun,naUgrndCd,newOldRegstrGbCd,newOldRegstrGbCdNm,newPlatPlc,oudrAutoArea,oudrAutoUtcnt,oudrMechArea,oudrMechUtcnt,platArea,platGbCd,platPlc,pmsDay,pmsnoGbCd,pmsnoGbCdNm,pmsnoKikCd,pmsnoKikCdNm,pmsnoYear,regstrGbCd,regstrGbCdNm,regstrKindCd,regstrKindCdNm,rnum,sigunguCd,splotNm,stcnsDay,totArea,totPkngCnt,useAprDay,vlRat,vlRatEstmTotArea
0,166.56,0,0,0,10800,,,0030,1,20200615,0,,0,다세대주택,0,0,,12,0,0,0,0,0,0,,0013,,2,02000,공동주택,11740-87,10801,28.0,117404172411,6.0,0,1,신대장,서울특별시 강동구 천호옛14길 28-6,0,2,0,0,0,0,서울특별시 강동구 성내동 30-13번지,,,,,,,2,집합,1,총괄표제부,1,11740,,,499.68,0,,0,333.12
1,98.17,0,0,38.5,10800,,,0048,0,20201110,0,,0,제2종근린생활시설,2,0,,0,0,0,0,0,0,0,,0012,,2,04000,제2종근린생활시설,11740-492,10801,94.0,117404172415,6.0,0,0,구대장,서울특별시 강동구 천호옛길 94-6,0,0,0,0,255,0,서울특별시 강동구 성내동 48-12번지,,,,,,,1,일반,1,총괄표제부,2,11740,,,98.17,0,,38.5,98.17
2,247.79,0,0,85.15,10800,,,0050,0,20210305,0,,0,"근린생활시설(사무실,점포), 주택",1,0,,0,0,0,0,0,0,0,,0005,,3,03000,제1종근린생활시설,11740-62,10801,98.0,117404172415,0.0,0,0,구대장,서울특별시 강동구 천호옛길 98,0,0,0,0,291,0,서울특별시 강동구 성내동 50-5번지,,,,,,,1,일반,1,총괄표제부,3,11740,,,486.72,0,,125.4,364.9
3,3959.67,317.5,5,54.28,10800,코오롱아파트,,0196,3,20210115,0,,0,"아파트, 생활편익시설",0,0,,257,16,7404.06,229,0,0,0,,0008,,3,02000,공동주택,11740-30,10801,35.0,117404172378,0.0,0,0,구대장,서울특별시 강동구 천호대로168길 35,701.5,61,0,0,7294.8,0,서울특별시 강동구 성내동 196-8번지,,,,,,,2,집합,1,총괄표제부,4,11740,,,35570.29,290,,351.8,25663.12
4,110.74,0,0,51.27,10800,,,0200,1,20201127,0,,0,단독주택 및 근린생활시설,1,0,,0,0,0,0,0,0,0,,0016,,2,01000,단독주택,11740-382,10801,46.0,117404172382,0.0,0,1,신대장,서울특별시 강동구 천호대로170길 46,0,0,0,0,216,0,서울특별시 강동구 성내동 200-16번지,,,,,,,1,일반,1,총괄표제부,5,11740,,,216.41,0,,75.75,163.63
5,2250.18,0,0,27.08,10800,성안마을청구아파트,,0295,0,20210323,0,,0,공동주택(아파트),0,0,,349,4,9869.37,299,0,0,0,,0000,,3,02000,공동주택,11740-142,10802,114.0,117403123024,1.0,0,1,신대장,서울특별시 강동구 풍성로 114-1,506,44,0,0,8308.4,0,서울특별시 강동구 성내동 295번지,19960216,,,,,,2,집합,1,총괄표제부,6,11740,,19960410,44460.35,343,20020725,372.88,30980.22
6,1416.8,0,0,58.38,10800,삼정빌딩,,0382,0,20210929,0,,0,"제1,2종근린생활시설,업무시설,창고시설",0,0,,0,0,0,0,0,0,0,,0006,,2,03000,제1종근린생활시설,11740-452,10802,118.0,117403124007,0.0,0,1,신대장,서울특별시 강동구 성안로 118,253,22,0,0,2427,0,서울특별시 강동구 성내동 382-6번지,,,,,,,1,일반,1,총괄표제부,7,11740,,,2642.54,22,,108.2,2626.01
7,499.77,0,0,49.76,10800,태천스마트빌,,0386,0,20210203,76,,0,도시형생활주택(단지형다세대),0,0,,36,0,0,0,0,0,0,,0017,,3,02000,공동주택,11740-100281441,10801,58.0,117404172386,7.0,0,1,신대장,서울특별시 강동구 천호대로176길 58-7,295.4,26,0,0,1004.3,0,서울특별시 강동구 성내동 386-17번지,20190521,1101,신축허가,3240079,건축과,2019,2,집합,1,총괄표제부,8,11740,,20200507,1738.12,26,20210126,173.07,1738.12
8,374.5,0,0,59.91,10800,강동그랜드빌,,0409,0,20210302,0,,0,도시형생활주택(단지형다세대),0,0,,28,0,0,15,0,0,0,,0002,,2,02000,공동주택,11740-100257862,10802,80.0,117403124007,0.0,0,1,신대장,서울특별시 강동구 성안로 80,0,4,0,0,625.1,0,서울특별시 강동구 성내동 409-2번지,20190226,1101,신축허가,3240079,건축과,2019,2,집합,1,총괄표제부,9,11740,,20190705,1287.54,19,20191213,199.95,1249.86
9,347.58,0,0,59.43,10800,,,0420,0,20200429,75,,0,공동주택(도시형생활주택(원룸형)),0,0,,28,0,0,7,0,0,0,,0003,,2,02000,공동주택,11740-100260162,10802,64.0,117403124007,0.0,0,1,신대장,서울특별시 강동구 성안로 64,0,7,0,0,584.9,0,서울특별시 강동구 성내동 420-3번지,20191115,1101,신축허가,3240079,건축과,2019,2,집합,1,총괄표제부,10,11740,,20191120,1238.67,14,20200427,211.77,1238.67
